model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_only,0.6452,0.5,0.0303,0.0571,1,1,59,32,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_only,0.3978,0.3708,1.0,0.541,33,56,4,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_only,0.4674,0.3396,0.5625,0.4235,18,35,25,14,92
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_only,0.3793,0.358,0.9355,0.5179,29,52,4,2,87
mistral,zero_shot,Mistral 7B Instruct v0.3,project_02,title_only,0.6667,0.5185,0.8485,0.6437,28,26,34,5,93
mistral,few_shot,Mistral 7B Instruct v0.3,project_02,title_only,0.3763,0.3626,1.0,0.5323,33,58,2,0,93
mistral,cot,Mistral 7B Instruct v0.3,project_02,title_only,0.6882,0.5625,0.5455,0.5538,18,14,46,15,93
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_02,title_only,0.3548,0.3548,1.0,0.5238,33,60,0,0,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.6882,0.5357,0.9091,0.6742,30,26,34,3,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.4839,0.4,0.9091,0.5556,30,45,15,3,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_only,0.3261,0.321,0.7879,0.4561,26,55,4,7,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_only,0.3548,0.3548,1.0,0.5238,33,60,0,0,93
ensemble,zero_shot,ensemble,project_02,title_only,0.7065,0.5652,0.7879,0.6582,26,20,39,7,92
ensemble,few_shot,ensemble,project_02,title_only,0.4022,0.375,1.0,0.5455,33,55,4,0,92
ensemble,cot,ensemble,project_02,title_only,0.4783,0.3846,0.7576,0.5102,25,40,19,8,92
ensemble,few_shot_cot,ensemble,project_02,title_only,0.3587,0.3587,1.0,0.528,33,59,0,0,92
