model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_03,title_only,0.6413,0.7143,0.1389,0.2326,5,2,54,31,92
llama3.1,few_shot,Llama 3.1 8B,project_03,title_only,0.4239,0.4045,1.0,0.576,36,53,3,0,92
llama3.1,cot,Llama 3.1 8B,project_03,title_only,0.4205,0.3636,0.7273,0.4848,24,42,13,9,88
llama3.1,few_shot_cot,Llama 3.1 8B,project_03,title_only,0.4444,0.4146,0.9444,0.5763,34,48,6,2,90
mistral,zero_shot,Mistral 7B Instruct v0.3,project_03,title_only,0.3913,0.375,0.8333,0.5172,30,50,6,6,92
mistral,few_shot,Mistral 7B Instruct v0.3,project_03,title_only,0.4674,0.4235,1.0,0.595,36,49,7,0,92
mistral,cot,Mistral 7B Instruct v0.3,project_03,title_only,0.4674,0.3968,0.6944,0.5051,25,38,18,11,92
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_03,title_only,0.3804,0.382,0.9444,0.544,34,55,1,2,92
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_03,title_only,0.4891,0.4337,1.0,0.605,36,47,9,0,92
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_03,title_only,0.5978,0.493,0.9722,0.6542,35,36,20,1,92
qwen2.5,cot,Qwen 2.5 14B Instruct,project_03,title_only,0.4891,0.4304,0.9444,0.5913,34,45,11,2,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_03,title_only,0.3913,0.3913,1.0,0.5625,36,56,0,0,92
ensemble,zero_shot,ensemble,project_03,title_only,0.4783,0.4189,0.8611,0.5636,31,43,13,5,92
ensemble,few_shot,ensemble,project_03,title_only,0.4674,0.4235,1.0,0.595,36,49,7,0,92
ensemble,cot,ensemble,project_03,title_only,0.4565,0.4103,0.8889,0.5614,32,46,10,4,92
ensemble,few_shot_cot,ensemble,project_03,title_only,0.3913,0.3913,1.0,0.5625,36,56,0,0,92
