model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_desc,0.766,0.3846,0.2632,0.3125,5,8,67,14,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_desc,0.3085,0.2262,1.0,0.3689,19,65,10,0,94
llama3.1,cot,Llama 3.1 8B,project_05,title_desc,0.25,0.2,0.9444,0.3301,17,68,6,1,92
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_desc,0.3375,0.1607,0.6,0.2535,9,47,18,6,80
mistral,zero_shot,Mistral 7B Instruct v0.3,project_05,title_desc,0.2857,0.2135,1.0,0.3519,19,70,9,0,98
mistral,few_shot,Mistral 7B Instruct v0.3,project_05,title_desc,0.3617,0.2405,1.0,0.3878,19,60,15,0,94
mistral,cot,Mistral 7B Instruct v0.3,project_05,title_desc,0.2766,0.2184,1.0,0.3585,19,68,7,0,94
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_05,title_desc,0.2418,0.1977,1.0,0.3301,17,69,5,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.3191,0.2289,1.0,0.3725,19,64,11,0,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.2872,0.2209,1.0,0.3619,19,67,8,0,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.2527,0.2093,1.0,0.3462,18,68,5,0,91
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.2473,0.2135,1.0,0.3519,19,70,4,0,93
ensemble,zero_shot,ensemble,project_05,title_desc,0.3617,0.2405,1.0,0.3878,19,60,15,0,94
ensemble,few_shot,ensemble,project_05,title_desc,0.3191,0.2289,1.0,0.3725,19,64,11,0,94
ensemble,cot,ensemble,project_05,title_desc,0.2128,0.2043,1.0,0.3393,19,74,1,0,94
ensemble,few_shot_cot,ensemble,project_05,title_desc,0.2553,0.2069,0.9474,0.3396,18,69,6,1,94
