model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_01,title_only,0.3723,0.6667,0.0333,0.0635,2,1,33,58,94
llama3.1,few_shot,Llama 3.1 8B,project_01,title_only,0.6596,0.6522,1.0,0.7895,60,32,2,0,94
llama3.1,cot,Llama 3.1 8B,project_01,title_only,0.5275,0.6333,0.6441,0.6387,38,22,10,21,91
llama3.1,few_shot_cot,Llama 3.1 8B,project_01,title_only,0.6559,0.6628,0.95,0.7808,57,29,4,3,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_01,title_only,0.6596,0.6667,0.9333,0.7778,56,28,6,4,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_01,title_only,0.6915,0.6824,0.9667,0.8,58,27,7,2,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_01,title_only,0.6277,0.6543,0.8833,0.7518,53,28,6,7,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_01,title_only,0.6383,0.6383,1.0,0.7792,60,34,0,0,94
ensemble,zero_shot,ensemble,project_01,title_only,0.3723,0.6667,0.0333,0.0635,2,1,33,58,94
ensemble,few_shot,ensemble,project_01,title_only,0.6596,0.6522,1.0,0.7895,60,32,2,0,94
ensemble,cot,ensemble,project_01,title_only,0.5319,0.629,0.65,0.6393,39,23,11,21,94
ensemble,few_shot_cot,ensemble,project_01,title_only,0.6489,0.6552,0.95,0.7755,57,30,4,3,94
llama3.1,zero_shot,Llama 3.1 8B,project_01,title_desc,0.8191,0.1176,0.5,0.1905,2,15,75,2,94
llama3.1,few_shot,Llama 3.1 8B,project_01,title_desc,0.3085,0.058,1.0,0.1096,4,65,25,0,94
llama3.1,cot,Llama 3.1 8B,project_01,title_desc,0.1739,0.05,1.0,0.0952,4,76,12,0,92
llama3.1,few_shot_cot,Llama 3.1 8B,project_01,title_desc,0.4384,0.0698,0.75,0.1277,3,40,29,1,73
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_01,title_desc,0.2766,0.0556,1.0,0.1053,4,68,22,0,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_01,title_desc,0.2766,0.0556,1.0,0.1053,4,68,22,0,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_01,title_desc,0.1444,0.0494,1.0,0.0941,4,77,9,0,90
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_01,title_desc,0.2174,0.0526,1.0,0.1,4,72,16,0,92
ensemble,zero_shot,ensemble,project_01,title_desc,0.8191,0.1176,0.5,0.1905,2,15,75,2,94
ensemble,few_shot,ensemble,project_01,title_desc,0.3085,0.058,1.0,0.1096,4,65,25,0,94
ensemble,cot,ensemble,project_01,title_desc,0.1702,0.0488,1.0,0.093,4,78,12,0,94
ensemble,few_shot_cot,ensemble,project_01,title_desc,0.4362,0.0545,0.75,0.1017,3,52,38,1,94
