model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_04,title_desc,0.9231,0.0,0.0,0.0,0,6,84,1,91
llama3.1,few_shot,Llama 3.1 8B,project_04,title_desc,0.6484,0.0303,1.0,0.0588,1,32,58,0,91
llama3.1,cot,Llama 3.1 8B,project_04,title_desc,0.7528,0.0,0.0,0.0,0,21,67,1,89
llama3.1,few_shot_cot,Llama 3.1 8B,project_04,title_desc,0.1609,0.0135,1.0,0.0267,1,73,13,0,87
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.7912,0.05,1.0,0.0952,1,19,71,0,91
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.8242,0.0588,1.0,0.1111,1,16,74,0,91
qwen2.5,cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.2111,0.0139,1.0,0.0274,1,71,18,0,90
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.2,0.0137,1.0,0.027,1,72,17,0,90
ensemble,zero_shot,ensemble,project_04,title_desc,0.9231,0.0,0.0,0.0,0,6,84,1,91
ensemble,few_shot,ensemble,project_04,title_desc,0.6484,0.0303,1.0,0.0588,1,32,58,0,91
ensemble,cot,ensemble,project_04,title_desc,0.7363,0.0,0.0,0.0,0,23,67,1,91
ensemble,few_shot_cot,ensemble,project_04,title_desc,0.1538,0.0128,1.0,0.0253,1,77,13,0,91
